company,cik,metric,tag,period_start,period_end,fiscal_year,fiscal_period,form,filed_date,value_usd,accession_number,source_url
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2016-01-01,2016-12-31,2018,FY,10-K,2019-02-01,7804000000,0001018724-19-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2016-10-01,2017-09-30,2018,Q3,10-Q,2018-10-26,10750000000,0001018724-18-000159,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000159/0001018724-18-000159-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-01-01,2017-09-30,2018,Q3,10-Q,2018-10-26,8336000000,0001018724-18-000159,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000159/0001018724-18-000159-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-07-01,2017-09-30,2018,Q3,10-Q,2018-10-26,3074000000,0001018724-18-000159,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000159/0001018724-18-000159-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-01-01,2017-12-31,2018,FY,10-K,2019-02-01,11955000000,0001018724-19-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-01-01,2017-12-31,2019,FY,10-K,2020-01-31,11955000000,0001018724-20-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-04-01,2018-03-31,2019,Q1,10-Q,2019-04-26,12905000000,0001018724-19-000043,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000043/0001018724-19-000043-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-03-31,2019,Q1,10-Q,2019-04-26,3098000000,0001018724-19-000043,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000043/0001018724-19-000043-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-07-01,2018-06-30,2019,Q2,10-Q,2019-07-26,13035000000,0001018724-19-000071,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000071/0001018724-19-000071-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-06-30,2019,Q2,10-Q,2019-07-26,6341000000,0001018724-19-000071,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000071/0001018724-19-000071-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-04-01,2018-06-30,2019,Q2,10-Q,2019-07-26,3243000000,0001018724-19-000071,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000071/0001018724-19-000071-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-10-01,2018-09-30,2018,Q3,10-Q,2018-10-26,13312000000,0001018724-18-000159,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000159/0001018724-18-000159-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2017-10-01,2018-09-30,2019,Q3,10-Q,2019-10-25,13312000000,0001018724-19-000089,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000089/0001018724-19-000089-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-09-30,2018,Q3,10-Q,2018-10-26,9693000000,0001018724-18-000159,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000159/0001018724-18-000159-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-09-30,2019,Q3,10-Q,2019-10-25,9693000000,0001018724-19-000089,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000089/0001018724-19-000089-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-07-01,2018-09-30,2018,Q3,10-Q,2018-10-26,3352000000,0001018724-18-000159,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000159/0001018724-18-000159-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-07-01,2018-09-30,2019,Q3,10-Q,2019-10-25,3352000000,0001018724-19-000089,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000089/0001018724-19-000089-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-12-31,2018,FY,10-K,2019-02-01,13427000000,0001018724-19-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-12-31,2019,FY,10-K,2020-01-31,13427000000,0001018724-20-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-01-01,2018-12-31,2020,FY,10-K,2021-02-03,13427000000,0001018724-21-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-04-01,2019-03-31,2019,Q1,10-Q,2019-04-26,13619000000,0001018724-19-000043,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000043/0001018724-19-000043-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-04-01,2019-03-31,2020,Q1,10-Q,2020-05-01,13619000000,0001018724-20-000010,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000010/0001018724-20-000010-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2019-01-01,2019-03-31,2019,Q1,10-Q,2019-04-26,3290000000,0001018724-19-000043,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000043/0001018724-19-000043-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2019-01-01,2019-03-31,2020,Q1,10-Q,2020-05-01,3290000000,0001018724-20-000010,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000010/0001018724-20-000010-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-07-01,2019-06-30,2019,Q2,10-Q,2019-07-26,13938000000,0001018724-19-000071,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000071/0001018724-19-000071-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2018-07-01,2019-06-30,2020,Q2,10-Q,2020-07-31,13938000000,0001018724-20-000021,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000021/0001018724-20-000021-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2019-01-01,2019-06-30,2019,Q2,10-Q,2019-07-26,6852000000,0001018724-19-000071,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000071/0001018724-19-000071-index.htm
Amazon,1018724,capex,PaymentsToAcquireProductiveAssets,2019-01-01,2019-06-30,2020,Q2,10-Q,2020-07-31,6852000000,0001018724-20-000021,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000021/0001018724-20-000021-index.htm
