collected_at,source,market_map_id,market_map_title,selected_for_tags,dealroom_tags,total_companies,sample_funding_usd,sample_size,is_capped,segment_count,access_path,source_label
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-53885,1.5k+ AI Agents,AI;Global,AI;Global,1596,20011677222,501,True,51,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-56130,1k+ Global Genetics & Genomics startups,Biotech,Biotech;Global;Health,1234,3271880736,96,True,8,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-54168,600+ Global Grid technology & infrastructure startups,Energy,Energy;Global,677,12086517352,205,True,18,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-53012,600+ global advanced materials startups,Deep Tech,Deep Tech;Global,645,6665844067,156,True,13,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-52820,AI x climate tech,Climate,AI;Climate;Global,746,2123779398,103,True,9,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-45416,AI x gaming startups,Gaming,AI;Gaming;Global,134,255333201051,112,True,17,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-42436,African climate tech investors,Africa,Africa;Climate,21,11320000,20,True,3,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-12883,Alternative protein,Food & Agri,Food & Agri;Global,922,6717008757,90,True,8,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-33371,Building energy efficiency startups,Real Estate,Climate;Global;Real Estate,414,5956211195,113,True,11,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-51287,Creator Economy companies,Marketing,Consumer;Global;Marketing,379,12681097406,206,True,22,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-50938,"Defence, Security and Resilience startups in Europe",Defence,Defence;Europe,350,5990712804,72,True,6,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-48993,European Industrial Robotics startups,Robotics,Deep Tech;Europe;Robotics,280,2191443198,113,True,11,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-15346,Global Consumer Mental Health companies,Consumer,Consumer;Global;Health,485,7904870808,148,True,15,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-49226,Global EV Battery Startups by Segment,Mobility;World,Energy;Mobility;World,458,36199334065,223,True,35,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-50945,Human resources software,HR,Global;HR,258,24250991294,154,True,15,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-47823,NYC AI Map by Lux Capital,USA,AI;USA,219,92011389764,153,True,27,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-47614,Nature fintech,Fintech,Climate;Fintech;Global,435,2738574847,216,True,18,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-12256,Non-Fungible Token (NFT) startups,Crypto,Crypto;Global,384,25162658201,182,True,30,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-48259,Nordics Defence startups,Nordics,Defence;Nordics,155,2180468046,132,True,19,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-57962,Rare Disease Therapeutics & Technologies Landscape,Health,Global;Health,1239,1968758526,120,True,10,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-20033,Space Tech Landscape,Space,Deep Tech;Global;Space,192,30086275199,149,True,24,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-48531,"Startups for the Paris olympic games (sports, event, media tech)",France,Consumer;France,17,34796593,12,True,1,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-44107,TechBio x Drug discovery (Europe & Israel),Europe,AI;Biotech;Europe;Health,677,3121760832,150,True,13,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-54048,Top Swiss Deep Tech startups,Switzerland,Deep Tech;Switzerland,294,7184030983,120,True,10,companiesUrl,dealroom
2026-09-11T14:23:41.064099+00:00,dealroom,landscape-39773,UK Techbio landscape,UK,Biotech;UK,86,3523489543,50,True,7,companiesUrl,dealroom
