collected_at,provider,tier,gpu_model,price_usd_per_hr,num_gpus,gpu_ram_gb,dlperf,dlperf_per_dollar,cpu_ram_gb,disk_space_gb,region,reliability,offer_id
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Quadro P2000,0.028055555555555556,1,5.0,1.0177623801653413,36.27667889698246,6.83,29.4625,"Nevada, US",0.991861,49574214
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Quadro P4000,0.04092592592592593,1,8.0,2.0836915595552954,50.91373041447328,15.6,338.0,"Missouri, US",0.9954365,45958967
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1650,0.04712962962962963,1,4.0,1.314866643929846,27.89893861383563,11.75,101.15,"Oregon, US",0.984285,51115338
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1650,0.04712962962962963,1,4.0,1.2880326307884207,27.32957251967572,11.75,151.0,"Oregon, US",0.9893207,50967988
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1070,0.04805555555555556,1,8.0,2.6128927489656055,54.37233466055595,8.96,164.42857142857142,"South Korea, KR",0.9906004,48484313
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1070,0.04805555555555556,1,8.0,2.5135531547077825,52.305152352300674,7.83,117.5,"South Korea, KR",0.9938893,47635957
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Titan Xp,0.04805555555555556,1,12.0,5.757466410549852,119.80854958369633,8.96,102.14285714285714,"South Korea, KR",0.9961943,48455473
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Titan Xp,0.04805555555555556,1,12.0,5.282480842330431,109.92445683462167,8.96,101.57142857142857,"South Korea, KR",0.9967488,32787365
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX TITAN X,0.04805555555555556,1,12.0,3.355057349444435,69.81622230057783,7.73,37.0,"South Korea, KR",0.9968861,51832512
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1070,0.049388888888888885,1,8.0,2.4978679556144425,50.57550416317207,7.78,171.0,"South Korea, KR",0.9979454,50037971
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1070,0.049388888888888885,1,8.0,2.6128927489656055,52.90446510841497,15.61,164.2,"South Korea, KR",0.9983534,47671684
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1070,0.050722222222222224,1,8.0,2.5135531547077825,49.55526482446888,15.62,175.5,"South Korea, KR",0.9869077,50850384
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,RTX 3060,0.050722222222222224,1,12.0,12.272867045677101,241.96232948760988,7.73,17.0,"South Korea, KR",0.9976585,47630110
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,RTX 3060,0.05627777777777778,1,12.0,12.272867045677101,218.0766108807382,31.35,386.3,"Norway, NO",0.9920451,47255150
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,RTX 3060,0.05159259259259259,1,12.0,10.870309404258073,210.69515715360228,15.63,304.9,"Poland, PL",0.9986185,45602397
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,RTX 3060,0.05159259259259259,1,12.0,11.24625668853526,217.98200329537116,15.63,305.5,"Poland, PL",0.9978853,45601906
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1660 S,0.052055555555555556,1,6.0,1.7121347086676697,32.890528021363984,31.35,95.5,"Vietnam, VN",0.9923916,48124764
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,RTX 3060,0.05251851851851852,1,12.0,12.407836284181814,236.2564031543787,19.63,171.5,"United States, US",0.9859967,50491878
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Quadro P4000,0.05344444444444444,1,8.0,2.0836915595552954,38.987991758830894,31.44,263.75,"Nevada, US",0.9960752,48453748
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080 Ti,0.05472222222222223,1,11.0,5.316102491579529,97.14705060754468,18.85,10.0,"Quebec, CA",0.9981481,49328818
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.351404206277043,61.24393473399672,10.46,217.33333333333331,"South Korea, KR",0.9702929,51265251
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.351404206277043,61.24393473399672,15.52,113.0,"South Korea, KR",0.9975166,51265279
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.330490607485923,60.86175729415899,31.18,118.19999999999999,"South Korea, KR",0.9915022,51265304
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.330490607485923,60.86175729415899,31.18,169.0,"South Korea, KR",0.9977732,51265402
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.330490607485923,60.86175729415899,10.46,260.48333333333335,"South Korea, KR",0.9890775,50870207
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.330490607485923,60.86175729415899,15.54,179.0,"South Korea, KR",0.9967362,50870754
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1080,0.05472222222222223,1,8.0,3.351404206277043,61.24393473399672,15.52,163.8,"South Korea, KR",0.9864698,50870717
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,GTX 1070 Ti,0.05472222222222223,1,8.0,3.1639660771116267,57.81866942945104,10.46,207.33333333333331,"South Korea, KR",0.9922968,51265140
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Titan Xp,0.05472222222222223,1,12.0,5.757466410549852,105.21258415218003,10.45,238.31188834656172,"South Korea, KR",0.9932647,48369186
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Titan Xp,0.05472222222222223,1,12.0,5.757466410549852,105.21258415218003,10.46,249.88955934012398,"South Korea, KR",0.9965604,48474935
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Titan Xp,0.05472222222222223,1,12.0,5.757466410549852,105.21258415218003,18.85,10.0,"Quebec, CA",0.9981481,49328820
2026-09-21T12:18:55.647545+00:00,vast.ai,marketplace,Titan Xp,0.05472222222222223,1,12.0,5.757466410549852,105.21258415218003,10.45,255.79999999999998,"South Korea, KR",0.9969337,48453495
